gene	associated	HiC	Density	numPeaks	concDMSO	concNutlin
PGM2L1	0	1	1	1	9.99	9.5
UBE2Q2	0	1	1	2	10.53	10.64
RNF11	0	2	1	1	7.17	5.2
RNF13	0	2	1	1	7.1	7.77
B2M	0	3	1	1	7.93	7.85
PRNP	0	1	1	1	9.23	9.7
FIG4	0	2	1	1	-0.08	6.93
EMILIN1	1	1	2	2	12.26	12.51
SPTLC1	0	2	1	3	9.8	9.59
C2CD2	0	1	1	1	9.89	9.3
JRKL	0	2	1	1	7.3	6.24
FAM84B	0	2	1	1	-0.08	-0.15
POLR3GL	0	1	1	1	11.55	11.58
FAM84A	0	5	1	2	-0.08	-0.15
GOLIM4	0	5	1	2	-0.08	3.7
MEG3	1	1	2	1	10.95	11.2
HIPK3	0	1	1	1	8.88	8.74
COL7A1	1	1	2	3	12.62	13.25
KLLN	0	2	1	3	8.73	8.24
BAK1	1	1	2	1	12.14	12.53
CTBP2	0	2	1	2	5.07	-0.15
ATP2A2	0	1	1	2	10.52	10.29
ITGA1	0	2	1	1	-0.08	5.7
ITGA2	0	2	1	3	8.1	8.39
ITGA3	1	1	2	3	12.6	12.78
MFSD10	0	1	1	1	11.53	11.56
GTF3C6	0	2	1	1	7.57	8.08
DENND4C	0	2	1	1	4.48	4.8
IQSEC3	0	1	1	3	10.61	10.5
UFSP1	1	1	2	1	11.98	12.44
PHLDA3	0	1	2	3	10.87	11.1
BACH1	0	3	1	2	7.89	7.5
WSB1	0	2	1	2	8	7.85
FBXL19	1	1	2	2	12.04	12.24
KSR1	0	3	1	2	9.43	9.4
XPOT	0	3	1	1	6.99	7.56
FAM212B	0	2	1	1	7.62	7.62
THSD1	0	2	1	3	3.84	4.26
COL4A2	0	1	1	3	10.98	11.04
COL4A1	0	1	1	3	10.98	11.04
GRN	1	1	2	2	12.03	12.35
CHST2	0	2	1	2	-0.08	-0.15
GARS	0	2	1	1	6.33	-0.15
RPS6KA2	0	5	1	1	-0.08	-0.15
KCNH1	0	2	1	1	-0.08	-0.15
SFT2D1	0	2	1	1	-0.08	-0.15
ATAD1	0	1	1	3	8.73	8.24
TCIRG1	1	1	2	2	12.29	12.58
TMEM198B	0	1	2	1	11.35	11.35
CCNG1	0	2	1	2	7.03	6.56
SESN1	0	2	1	2	6.12	7.62
SESN3	0	2	1	1	-0.08	-0.15
LRPAP1	1	3	1	2	10.96	11.48
ZNF706	0	2	1	2	7.74	8.05
SHROOM3	0	3	1	1	-0.08	4.38
IGF2R	0	2	1	1	-0.08	-0.15
CYFIP2	0	5	1	1	-0.08	-0.15
SLC36A1	0	2	1	1	-0.08	6
SZT2	1	1	1	1	12.27	12.54
RNF111	0	2	1	2	-0.08	6.95
BFAR	0	1	1	1	10.36	10.07
NIPSNAP1	0	1	1	2	11.12	11.17
BDKRB2	0	2	1	3	9.65	9.15
RAB11FIP5	0	1	1	1	9.47	9.23
CTHRC1	0	2	1	3	8.09	8.1
SPHK1	1	1	2	1	11.91	12.2
CUEDC1	0	1	2	2	10.77	10.73
CPEB4	0	2	1	1	-0.08	5.13
CPEB2	0	3	1	2	-0.08	4.49
ARL15	0	2	1	1	-0.08	7
ZNF780A	0	3	2	1	10.44	10.32
ZNF780B	0	3	2	1	10.44	10.32
RGS20	0	3	1	2	7.56	5.82
TP53TG1	0	2	1	3	-0.08	6.24
EEA1	0	2	1	3	8.83	8.22
CLIP2	0	1	1	2	11.28	11.35
CLIP4	0	2	1	1	7.37	7.72
CD46	0	2	1	1	-0.08	-0.15
NIPAL3	0	1	1	3	10.7	10.9
CALR	1	1	2	1	12.39	12.72
ATP6V0E1	0	2	1	1	10.56	10.5
PCK2	1	1	2	1	11.44	11.77
TRIM13	0	2	1	1	8.18	7.36
SYTL3	0	2	1	1	8.87	8.8
SYTL2	0	2	1	1	8.18	7.48
PPP2R3C	0	1	1	1	8.79	8.28
SPRED3	1	1	2	2	11.61	11.97
BRK1	0	2	2	1	10.47	10.41
RCBTB1	0	1	1	1	8.34	7.52
ARL2BP	0	1	2	1	11.21	11.16
ASB1	0	2	1	3	9.53	9.56
VOPP1	0	2	1	1	-0.08	-0.15
CRISPLD2	0	1	1	2	11.2	11.33
MRPL39	0	3	1	1	-0.08	-0.15
ARRDC3	0	2	1	1	-0.08	-0.15
ZNF672	0	2	2	3	-0.08	-0.15
RAB27B	0	3	1	1	-0.08	5.45
MANBA	0	2	1	3	-0.08	-0.15
ZNF841	0	3	2	1	10.42	10.2
RFX7	0	5	1	3	-0.08	-0.15
ELK3	0	2	1	1	5.94	6.96
HSD3B7	1	1	2	2	12.2	12.48
UQCRC2	0	2	1	1	9.91	9.9
DBT	0	2	1	1	6.7	5.83
UQCRC1	1	1	2	3	12.5	13.04
RETSAT	0	1	1	1	10.96	10.69
IL10RB	0	1	1	2	8.29	7.78
KCNG1	0	1	1	2	10.22	10.2
COPS6	1	1	2	2	12.2	12.47
SERINC3	0	1	2	2	10.21	9.97
ZNF596	0	3	1	2	-0.08	-0.15
MED8	1	1	1	1	12.27	12.54
ZNF600	0	3	2	1	10.57	10.39
TKT	0	1	2	3	9.78	9.89
